Fecha,Ticker,Tipo,Precio,Capital_Operacion,Capital_Total,Retorno_%,Dias_en_Posicion,Año
2021-01-27,KLAC,SELL,269.16851806640625,1577.2345503124118,5072.622174015743,-6.535648718458176,7,2021
2021-01-27,ADBE,BUY,460.0,2536.3110870078717,2536.3110870078717,0.0,0,2021
2021-01-27,ADI,BUY,135.14666748046875,1268.1555435039359,1268.1555435039359,0.0,0,2021
2021-01-27,AZN,BUY,92.01297760009766,634.0777717519679,634.0777717519679,0.0,0,2021
2021-01-27,BKNG,BUY,1855.7254638671875,317.03888587598396,317.03888587598396,0.0,0,2021
2021-01-27,CMCSA,BUY,39.186737060546875,158.51944293799198,158.51944293799198,0.0,0,2021
2021-01-28,ALGN,SELL,536.5800170898438,884.312917399603,1042.832360337595,-1.3295048824421452,7,2021
2021-01-28,BKNG,SELL,2001.3525390625,341.91834491896464,1384.7507052565597,7.8474471591200246,1,2021
2021-01-28,CMCSA,SELL,41.760337829589844,168.93025513761802,1553.6809603941779,6.567530144361178,1,2021
2021-01-28,EBAY,BUY,51.721221923828125,776.8404801970889,776.8404801970889,0.0,0,2021
2021-01-28,SIRI,BUY,53.58616256713867,388.42024009854447,388.42024009854447,0.0,0,2021
2021-01-28,WBD,BUY,41.02000045776367,194.21012004927223,194.21012004927223,0.0,0,2021
2021-01-29,CSX,SELL,26.63971519470215,1105.1926767734508,1299.402796822723,-2.1451597320070737,7,2021
2021-01-29,MU,SELL,76.36779022216797,268.5942458103981,1567.997042633121,-4.873611369155917,7,2021
2021-01-29,CRWD,SELL,215.8000030517578,378.42942467266715,1946.4264673057883,4.3520308835524935,3,2021
2021-01-29,BKNG,BUY,1913.02783203125,973.2132336528941,973.2132336528941,0.0,0,2021
2021-01-29,CMCSA,BUY,40.1174430847168,486.60661682644707,486.60661682644707,0.0,0,2021
2021-01-29,FANG,BUY,45.89527893066406,243.30330841322353,243.30330841322353,0.0,0,2021
2021-01-29,HON,BUY,165.46258544921875,121.65165420661177,121.65165420661177,0.0,0,2021
2021-02-01,BKR,SELL,17.806196212768555,136.2145294714136,257.8661836780254,-3.5154589513277656,7,2021
2021-02-01,ADBE,SELL,470.0,2591.4482845515213,2849.3144682295465,2.1739130434782705,5,2021
2021-02-01,ADI,SELL,139.1787109375,1305.9904258359172,4155.3048940654635,2.9834575518585815,5,2021
2021-02-01,EBAY,SELL,53.581504821777344,804.7814878916407,4960.086381957104,3.5967497068977394,4,2021
2021-02-02,DDOG,SELL,106.01000213623047,185.6849008893096,5145.771282846414,2.4053376873161225,7,2021
2021-02-02,BKNG,SELL,2032.2763671875,1033.8784527179816,6179.649735564395,6.2334971378661175,4,2021
2021-02-02,CMCSA,SELL,41.4204216003418,502.41116264326087,6682.060898207656,3.2479101743186245,4,2021
2021-02-02,FANG,SELL,47.29585647583008,250.728149450642,6932.789047658298,3.05168108310645,4,2021
2021-02-02,VRTX,BUY,217.3300018310547,3466.394523829149,3466.394523829149,0.0,0,2021
2021-02-03,AZN,SELL,88.30420684814453,608.5199737578857,4074.914497587035,-4.030703981857863,7,2021
2021-02-03,IDXX,BUY,485.3599853515625,2037.4572487935175,2037.4572487935175,0.0,0,2021
2021-02-03,KLAC,BUY,270.9287109375,1018.7286243967587,1018.7286243967587,0.0,0,2021
2021-02-03,LCID,BUY,294.8999938964844,509.36431219837937,509.36431219837937,0.0,0,2021
2021-02-03,LULU,BUY,332.3900146484375,254.68215609918968,254.68215609918968,0.0,0,2021
2021-02-03,MTCH,BUY,134.15695190429688,127.34107804959484,127.34107804959484,0.0,0,2021
2021-02-04,SIRI,SELL,51.24177932739258,371.4269370284791,498.7680150780739,-4.374978777046767,7,2021
2021-02-04,WBD,SELL,41.11000061035156,194.63622780752408,693.404242885598,0.2194055377463089,7,2021
2021-02-04,HON,SELL,169.8834991455078,124.90200511100572,818.3062479966037,2.6718509711948446,6,2021
2021-02-04,MTCH,SELL,146.30801391601562,138.8748026464652,957.1810506430689,9.057348008612266,1,2021
2021-02-04,QCOM,BUY,132.86172485351562,478.59052532153447,478.59052532153447,0.0,0,2021
2021-02-05,LCID,SELL,346.5,598.4901248885462,1077.0806502100806,17.497459196838182,2,2021
2021-02-05,TMUS,BUY,120.45455169677734,538.5403251050403,538.5403251050403,0.0,0,2021
2021-02-08,IDXX,SELL,495.760009765625,2081.1147520273553,2619.6550771323955,2.142744504685412,5,2021
2021-02-08,KLAC,SELL,286.0318298339844,1075.5183957143715,3695.1734728467673,5.574573046991871,5,2021
2021-02-08,LULU,SELL,339.7099914550781,260.29083082933494,3955.464303676102,2.202225242651412,5,2021
2021-02-08,LCID,BUY,328.79998779296875,1977.732151838051,1977.732151838051,0.0,0,2021
2021-02-09,VRTX,SELL,213.82000732421875,3410.410418391996,5388.142570230047,-1.6150529044602346,7,2021
2021-02-10,ODFL,BUY,102.03117370605469,2694.0712851150233,2694.0712851150233,0.0,0,2021
2021-02-11,QCOM,SELL,130.69778442382812,470.79564392773597,3164.8669290427592,-1.6287161950315765,7,2021
2021-02-11,ORLY,BUY,28.87733268737793,1582.4334645213796,1582.4334645213796,0.0,0,2021
2021-02-12,TMUS,SELL,118.91617584228516,531.6623996041634,2114.095864125543,-1.2771421526392546,7,2021
2021-02-12,LCID,SELL,399.79998779296875,2404.7972004806848,4518.893064606227,21.59367476762366,4,2021
2021-02-12,DDOG,BUY,112.86000061035156,2259.4465323031136,2259.4465323031136,0.0,0,2021
2021-02-16,ORLY,SELL,29.518667221069336,1617.5776116298862,3877.024143933,2.220892561769494,5,2021
2021-02-16,GILD,BUY,53.48116683959961,1938.5120719665,1938.5120719665,0.0,0,2021
2021-02-16,MDB,BUY,408.2099914550781,969.25603598325,969.25603598325,0.0,0,2021
2021-02-17,ODFL,SELL,101.54295349121094,2681.1801263265093,3650.4361623097593,-0.478501027784195,7,2021
2021-02-17,DOCU,BUY,254.97999572753906,1825.2180811548797,1825.2180811548797,0.0,0,2021
2021-02-18,FANG,BUY,52.736263275146484,912.6090405774398,912.6090405774398,0.0,0,2021
2021-02-18,SNPS,BUY,270.95001220703125,456.3045202887199,456.3045202887199,0.0,0,2021
2021-02-19,DDOG,SELL,105.05000305175781,2103.091120238355,2559.3956405270746,-6.920075772068901,7,2021
2021-02-19,EXC,BUY,24.72548484802246,1279.6978202635373,1279.6978202635373,0.0,0,2021
2021-02-19,KHC,BUY,29.708721160888672,639.8489101317687,639.8489101317687,0.0,0,2021
2021-02-19,LCID,BUY,529.4000244140625,319.92445506588433,319.92445506588433,0.0,0,2021
2021-02-19,MNST,BUY,44.82500076293945,159.96222753294217,159.96222753294217,0.0,0,2021
2021-02-22,FANG,SELL,55.375511169433594,958.2816259876865,1118.2438535206288,5.004616805170814,4,2021
2021-02-22,LCID,SELL,573.7000122070312,346.6956088257979,1464.9394623464268,8.367961040802708,3,2021
2021-02-22,ALGN,BUY,579.5399780273438,732.4697311732134,732.4697311732134,0.0,0,2021
2021-02-22,CPRT,BUY,28.13249969482422,366.2348655866067,366.2348655866067,0.0,0,2021
2021-02-22,CRWD,BUY,225.8300018310547,183.11743279330335,183.11743279330335,0.0,0,2021
2021-02-23,GILD,SELL,52.556793212890625,1905.006643041265,2088.1240758345684,-1.7284096090897982,7,2021
2021-02-23,MDB,SELL,380.69000244140625,903.9124235777473,2992.0364994123156,-6.741625533362361,7,2021
2021-02-23,LCID,BUY,352.1000061035156,1496.0182497061578,1496.0182497061578,0.0,0,2021
2021-02-23,MDB,BUY,380.69000244140625,748.0091248530789,748.0091248530789,0.0,0,2021
2021-02-23,WBD,BUY,52.95000076293945,374.00456242653945,374.00456242653945,0.0,0,2021
2021-02-23,WDAY,BUY,261.7300109863281,187.00228121326973,187.00228121326973,0.0,0,2021
2021-02-24,DOCU,SELL,239.66000366210938,1715.5532957226494,1902.5555769359191,-6.008311366433617,7,2021
2021-02-24,EBAY,BUY,54.41542053222656,951.2777884679596,951.2777884679596,0.0,0,2021
2021-02-24,MELI,BUY,1714.0,475.6388942339798,475.6388942339798,0.0,0,2021
2021-02-24,VRSK,BUY,162.25997924804688,237.8194471169899,237.8194471169899,0.0,0,2021
2021-02-25,SNPS,SELL,244.08999633789062,411.0698050130822,648.8892521300721,-9.913273540883639,7,2021
2021-02-25,ADBE,BUY,459.1600036621094,324.44462606503606,324.44462606503606,0.0,0,2021
2021-02-25,ADI,BUY,141.4314422607422,162.22231303251803,162.22231303251803,0.0,0,2021
2021-02-26,EXC,SELL,23.064374923706055,1193.7250370226113,1355.9473500551294,-6.718209711666223,7,2021
2021-02-26,KHC,SELL,28.83679962158203,621.0699783957155,1977.0173284508448,-2.934900949067165,7,2021
2021-02-26,MNST,SELL,43.869998931884766,156.5542137550629,2133.571542205908,-2.1305115779144956,7,2021
2021-03-01,ALGN,SELL,565.1099853515625,714.2319335116305,2847.8034757175383,-2.4899046179520656,7,2021
2021-03-01,CPRT,SELL,27.454999923706055,357.41502944328425,3205.2185051608226,-2.4082459023106684,7,2021
2021-03-01,CRWD,SELL,223.39999389648438,181.1470266867721,3386.365531847595,-1.0760341473088353,7,2021
2021-03-01,MDB,SELL,395.0400085449219,776.2051253739467,4162.570657221541,3.7694728024081137,6,2021
2021-03-01,WBD,SELL,58.18000030517578,410.945896932698,4573.516554154239,9.877241674936643,6,2021
2021-03-01,ADI,SELL,145.95013427734375,167.4052671132893,4740.921821267529,3.194969905115541,4,2021
2021-03-02,LCID,SELL,277.70001220703125,1179.9042289229699,5920.826050190499,-21.13035859323761,7,2021
2021-03-02,WDAY,SELL,247.9600067138672,177.1638136964469,6097.989863886945,-5.261148395084215,7,2021
2021-03-02,DDOG,BUY,93.51000213623047,3048.9949319434727,3048.9949319434727,0.0,0,2021
2021-03-02,FANG,BUY,57.488529205322266,1524.4974659717363,1524.4974659717363,0.0,0,2021
2021-03-02,KLAC,BUY,293.9870300292969,762.2487329858682,762.2487329858682,0.0,0,2021
2021-03-02,LCID,BUY,277.70001220703125,381.1243664929341,381.1243664929341,0.0,0,2021
2021-03-02,MDB,BUY,379.92999267578125,190.56218324646704,190.56218324646704,0.0,0,2021
2021-03-03,EBAY,SELL,50.193626403808594,877.4733605582277,1068.0355438046947,-7.7584517166741085,7,2021
2021-03-03,MELI,SELL,1528.0,424.0234716391605,1492.0590154438553,-10.851808634772464,7,2021
2021-03-03,VRSK,SELL,159.6255645751953,233.9582667823327,1726.017282226188,-1.6235763649546264,7,2021
2021-03-03,FANG,SELL,60.60679244995117,1607.1884737324547,3333.205755958643,5.424148587089306,1,2021
2021-03-03,ALGN,BUY,527.4299926757812,1666.6028779793214,1666.6028779793214,0.0,0,2021
2021-03-03,CRWD,BUY,210.6199951171875,833.3014389896607,833.3014389896607,0.0,0,2021
2021-03-03,DOCU,BUY,219.63999938964844,416.65071949483035,416.65071949483035,0.0,0,2021
2021-03-03,EBAY,BUY,50.193626403808594,208.32535974741518,208.32535974741518,0.0,0,2021
2021-03-03,IDXX,BUY,498.0199890136719,104.16267987370759,104.16267987370759,0.0,0,2021
2021-03-04,ADBE,SELL,439.05999755859375,310.24186686966186,414.40454674336945,-4.377560315185248,7,2021
2021-03-04,ADI,BUY,133.00149536132812,207.20227337168473,207.20227337168473,0.0,0,2021
2021-03-04,CSX,BUY,27.498762130737305,103.60113668584236,103.60113668584236,0.0,0,2021
2021-03-08,CSX,SELL,28.829143524169922,108.61332683207635,212.21446351791872,4.837968295109385,4,2021
2021-03-08,ADBE,BUY,421.20001220703125,106.10723175895936,106.10723175895936,0.0,0,2021
2021-03-09,DDOG,SELL,82.0,2673.6988419177396,2779.806073676699,-12.308845977205806,7,2021
2021-03-09,KLAC,SELL,279.0702819824219,723.5726311936673,3503.378704870366,-5.073947665442413,7,2021
2021-03-09,LCID,SELL,244.60000610351562,335.6968609020819,3839.075565772448,-11.919339088411295,7,2021
2021-03-09,MDB,SELL,311.9200134277344,156.45029321962613,3995.525858992074,-17.9006607951808,7,2021
2021-03-09,EBAY,SELL,51.63691711425781,214.31564333552473,4209.841502327598,2.875446174854801,6,2021
2021-03-09,ADI,SELL,137.5201873779297,214.24191797088793,4424.083420298486,3.3974745955491104,5,2021
2021-03-09,FANG,BUY,65.97217559814453,2212.041710149243,2212.041710149243,0.0,0,2021
2021-03-09,WBD,BUY,63.0099983215332,1106.0208550746215,1106.0208550746215,0.0,0,2021
2021-03-10,ALGN,SELL,511.7900085449219,1617.1827787699387,2723.2036338445605,-2.965319444863934,7,2021
