Fecha,Capital_Total,Max_Acumulado,Drawdown_%
2022-08-09,21140.270073250427,271001.5239713758,-92.19920620244065
2022-08-10,16144.558125169584,271001.5239713758,-94.04263197911948
2022-08-10,12875.251696870395,271001.5239713758,-95.24901133093616
2022-08-10,13274.063807461333,271001.5239713758,-95.10184901806554
2022-08-10,8770.225766850002,271001.5239713758,-96.76377252853517
2022-08-10,12078.954057126237,271001.5239713758,-95.54284644598454
2022-08-11,27140.366560404458,271001.5239713758,-89.98516090881057
2022-08-11,32700.244074046404,271001.5239713758,-87.93355712733913
2022-08-12,17973.64736845136,271001.5239713758,-93.36769509445645
2022-08-18,16876.46329272394,271001.5239713758,-93.77255779029993
2022-08-18,26207.58093814763,271001.5239713758,-90.32936030982772
2022-08-18,27412.52460860498,271001.5239713758,-89.88473414950228
2022-08-23,1772.3531127196902,271001.5239713758,-99.34599883914052
2022-08-24,24193.144897174032,271001.5239713758,-91.0726904621653
2022-08-24,8199.01302847567,271001.5239713758,-96.97455095147667
2022-08-24,6072.992043134578,271001.5239713758,-97.75905612849026
2022-08-24,22399.427576578637,271001.5239713758,-91.73457505023309
2022-08-25,27780.84818372194,271001.5239713758,-89.74882215545907
2022-08-26,34426.596102348165,271001.5239713758,-87.29653044091941
2022-09-02,16353.116915532137,271001.5239713758,-93.9656734486632
2022-09-02,23981.697388504697,271001.5239713758,-91.15071493434195
2022-09-02,27890.291744875685,271001.5239713758,-89.70843730464719
2022-09-02,29898.60168430334,271001.5239713758,-88.96736769367342
2022-09-02,30969.351803974918,271001.5239713758,-88.57225917030415
2022-09-02,31495.133262659765,271001.5239713758,-88.3782449629374
2022-09-02,31748.798252548695,271001.5239713758,-88.2846421720115
2022-09-02,31875.943572106877,271001.5239713758,-88.23772534376089
2022-09-08,32835.70835562265,271001.5239713758,-87.88357058866913
2022-09-16,260.4994730309679,271001.5239713758,-99.90387527375732
2022-09-19,653.150298139093,271001.5239713758,-99.75898648518003
2022-09-20,31466.97420643056,271001.5239713758,-88.38863570016152
2022-09-20,30230.289690415968,271001.5239713758,-88.84497428375754
2022-09-20,31223.936685042372,271001.5239713758,-88.47831693804778
2022-09-20,24235.630406090128,271001.5239713758,-91.05701324076318
2022-09-20,16508.03897973326,271001.5239713758,-93.90850695678121
2022-09-20,28210.117247838265,271001.5239713758,-89.59042117755104
2022-09-23,241.7278957519777,271001.5239713758,-99.91080201608847
2022-09-28,15470.96520936929,271001.5239713758,-94.29118885287029
2022-09-28,23628.907105232403,271001.5239713758,-91.28089511860892
2022-09-28,24126.445787507688,271001.5239713758,-91.09730254134806
2022-09-28,24251.05044501725,271001.5239713758,-91.05132322149643
2022-09-28,24376.138201047837,271001.5239713758,-91.00516563751039
2022-09-29,31355.094429475685,271001.5239713758,-88.42991951853838
2022-09-29,31126.61942519513,271001.5239713758,-88.51422716409417
2022-09-29,28221.993974762616,271001.5239713758,-89.58603864613562
2022-09-29,30173.854578918355,271001.5239713758,-88.86579893104016
2022-10-04,21086.475283326887,271001.5239713758,-92.21905656679846
