Fecha,Ticker,Tipo,Precio,Capital_Invertido,Capital_Recuperado,Beneficio,Retorno_%,Dias,operaciones_abiertas,Total_Invertido_global,Total_disponible
2026-02-10,MU,SELL,373.25,20808.444246473064,18516.955392400963,-2291.4888540721004,-11.012302635073246,7,1,31696.459596859666,244921.91992269832
2026-02-10,MU,BUY,373.25,48984.383984539665,0.0,0.0,0.0,0,2,80680.84358139933,195937.53593815866
2026-02-11,MU,SELL,410.3399963378906,48984.383984539665,53851.981098003576,4867.597113463911,9.937038536608345,1,1,31696.459596859666,249789.51703616223
2026-02-12,AMAT,BUY,327.98095703125,49957.90340723245,0.0,0.0,0.0,0,2,81654.36300409211,199831.61362892977
2026-02-12,AMD,BUY,205.94000244140625,39966.322725785954,0.0,0.0,0.0,0,3,121620.68572987807,159865.29090314382
2026-02-12,MRVL,BUY,78.2300033569336,31973.058180628766,0.0,0.0,0.0,0,4,153593.74391050683,127892.23272251505
2026-02-12,TSLA,BUY,417.07000732421875,25578.44654450301,0.0,0.0,0.0,0,5,179172.19045500984,102313.78617801204
2026-02-13,NVDA,BUY,182.80999755859375,31261.234421368543,0.0,0.0,0.0,0,5,160475.52146914596,125044.93768547417
2026-02-13,AMAT,SELL,354.4679260253906,49957.90340723245,53992.38592883068,4034.4825215982273,8.075764286405484,1,4,129214.2870477774,156306.1721068427
2026-02-17,MU,BUY,399.7799987792969,25008.987537094836,0.0,0.0,0.0,0,6,185484.50900624078,100035.95014837934
2026-02-18,MRVL,SELL,79.08999633789062,31973.058180628766,32324.542322711888,351.4841420831217,1.099313491056897,6,5,153511.450825612,132360.49247109122
2026-02-18,NVDA,SELL,187.97999572753906,31261.234421368543,32145.32460722199,884.0901858534489,2.82807189868719,5,4,122250.21640424346,164505.8170783132
2026-02-18,MU,SELL,420.95001220703125,25008.987537094836,26333.317427511945,1324.3298904171097,5.295415851812413,1,3,97241.22886714863,190839.13450582515
2026-02-19,AMD,SELL,203.3699951171875,39966.322725785954,39467.567064381205,-498.75566140474984,-1.2479398338115288,7,2,57274.90614136268,230306.70157020635
2026-02-19,TSLA,SELL,411.7099914550781,25578.44654450301,25249.72264448897,-328.7239000140398,-1.2851597513637292,7,1,31696.459596859666,255556.42421469532
2026-02-23,MRVL,BUY,77.79000091552734,51111.284842939065,0.0,0.0,0.0,0,2,82807.74443979873,204445.13937175626
2026-02-23,TSLA,BUY,399.8299865722656,40889.02787435125,0.0,0.0,0.0,0,3,123696.77231414999,163556.111497405
2026-02-25,MRVL,SELL,80.91999816894531,51111.284842939065,53167.823977715314,2056.539134776249,4.023649847770083,2,2,72585.48747121092,216723.93547512032
2026-02-25,TSLA,SELL,417.3999938964844,40889.02787435125,42685.84287912751,1796.8150047762538,4.394369585644653,2,1,31696.459596859666,259409.77835424783
2026-02-26,MU,BUY,415.55999755859375,21250.849042779984,0.0,0.0,0.0,0,6,206102.84177998756,85003.39617111992
2026-02-26,MRVL,BUY,79.29000091552734,26563.561303474977,0.0,0.0,0.0,0,5,184851.9927372076,106254.2452138999
2026-02-26,NVDA,BUY,184.88999938964844,17000.679234223986,0.0,0.0,0.0,0,7,223103.52101421155,68002.71693689594
2026-02-26,AMD,BUY,203.67999267578125,41505.56453667965,0.0,0.0,0.0,0,3,125083.97980438889,166022.2581467186
2026-02-26,AMAT,BUY,375.7200012207031,51881.955670849566,0.0,0.0,0.0,0,2,83578.41526770924,207527.82268339826
2026-02-26,LRCX,BUY,239.07000732421875,33204.45162934373,0.0,0.0,0.0,0,4,158288.43143373262,132817.80651737488
2026-02-26,TSLA,BUY,408.5799865722656,13600.54338737919,0.0,0.0,0.0,0,8,236704.06440159076,54402.17354951675
